,Station,Date,Temp_Max,Temp_Min,Temp_Avg,Temp_Norm_Dev,Temp_Dew_Point,Temp_Wet_Bulb,Heat,Cool,Sunrise,Sunset,CodeSum,Max_Snow_Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
29,2.0,2007-05-15,82.0,56.0,69.0,,56.0,61.0,0.0,4.0,,,TSRA RA BR,,,0.60,29.19,29.83,8.1,25.0,10.8
30,1.0,2007-05-16,66.0,44.0,55.0,-4,43.0,48.0,10.0,0.0,431.0,1905.0,RA BR,0.0,0.0,0.14,29.33,30.03,7.8,36.0,12.2
31,2.0,2007-05-16,64.0,45.0,55.0,,42.0,47.0,10.0,0.0,,,RA BR,,,0.07,29.39,30.03,8.0,36.0,11.8
32,1.0,2007-05-17,62.0,43.0,53.0,-6,32.0,43.0,12.0,0.0,430.0,1906.0, ,0.0,0.0,0.00,29.55,30.27,10.5,3.0,11.3
33,2.0,2007-05-17,61.0,44.0,53.0,,32.0,43.0,12.0,0.0,,, ,,,0.00,29.62,30.27,11.7,1.0,12.2
34,1.0,2007-05-18,71.0,42.0,57.0,-3,30.0,46.0,8.0,0.0,429.0,1907.0, ,0.0,0.0,0.00,29.53,30.25,5.4,25.0,7.5
35,2.0,2007-05-18,70.0,43.0,57.0,,31.0,47.0,8.0,0.0,,, ,,,0.00,29.60,30.26,3.4,22.0,5.5
36,1.0,2007-05-19,80.0,56.0,68.0,8.0,39.0,53.0,0.0,3.0,428.0,1908.0, ,0.0,0.0,0.00,29.34,30.08,11.1,24.0,11.4
37,2.0,2007-05-19,80.0,56.0,68.0,,37.0,53.0,0.0,3.0,,, ,,,0.00,29.41,30.08,11.1,23.0,11.4
38,1.0,2007-05-20,69.0,43.0,56.0,-5,40.0,44.0,9.0,0.0,427.0,1909.0,RA VCTS,0.0,0.0,0.07,29.38,30.11,10.4,4.0,10.7
39,2.0,2007-05-20,69.0,44.0,57.0,,41.0,45.0,8.0,0.0,,,TSRA RA,,,0.11,29.44,30.11,8.6,3.0,9.7
40,1.0,2007-05-21,80.0,44.0,62.0,1.0,50.0,56.0,3.0,0.0,426.0,1910.0, ,0.0,0.0,0.00,29.33,30.06,6.3,11.0,8.2
41,2.0,2007-05-21,79.0,46.0,63.0,,50.0,57.0,2.0,0.0,,, ,,,0.00,29.39,30.05,6.3,10.0,7.8
42,1.0,2007-05-22,87.0,55.0,71.0,10.0,46.0,58.0,0.0,6.0,425.0,1911.0, ,0.0,0.0,0.00,29.34,30.06,10.0,18.0,10.2
43,2.0,2007-05-22,87.0,60.0,74.0,,44.0,58.0,0.0,9.0,,, ,,,0.00,29.41,30.05,10.1,16.0,10.6
44,1.0,2007-05-23,89.0,60.0,75.0,14.0,49.0,61.0,0.0,10.0,425.0,1912.0, ,0.0,0.0,0.00,29.39,30.10,11.4,19.0,11.8
45,2.0,2007-05-23,89.0,66.0,78.0,,48.0,61.0,0.0,13.0,,, ,,,0.00,29.47,30.10,10.9,18.0,11.2
46,1.0,2007-05-24,88.0,63.0,76.0,14.0,54.0,63.0,0.0,11.0,424.0,1913.0,RA HZ,0.0,0.0,0.02,29.41,30.11,14.9,21.0,17.3
47,2.0,2007-05-24,88.0,66.0,77.0,,53.0,63.0,0.0,12.0,,,RA HZ,,,,29.47,30.10,13.8,20.0,15.2
48,1.0,2007-05-25,70.0,56.0,63.0,1.0,44.0,53.0,2.0,0.0,423.0,1914.0, ,0.0,0.0,,29.51,30.24,4.9,5.0,8.8
49,2.0,2007-05-25,66.0,57.0,62.0,,46.0,53.0,3.0,0.0,,,RA BR,,,0.09,29.57,30.23,4.5,5.0,8.2
50,1.0,2007-05-26,65.0,49.0,57.0,-5,55.0,56.0,8.0,0.0,422.0,1915.0,TSRA RA BR HZ,0.0,0.0,1.01,29.36,30.11,2.8,17.0,7.2
51,2.0,2007-05-26,70.0,50.0,60.0,,55.0,57.0,5.0,0.0,,,TSRA RA BR,,,0.28,29.42,30.10,2.5,15.0,7.8
52,1.0,2007-05-27,75.0,57.0,66.0,4.0,47.0,56.0,0.0,1.0,422.0,1916.0,RA BR,0.0,0.0,0.04,29.34,30.06,8.9,26.0,9.5
53,2.0,2007-05-27,75.0,59.0,67.0,,49.0,57.0,0.0,2.0,,,RA BR,,,0.08,29.41,30.05,8.2,24.0,9.2
54,1.0,2007-05-28,79.0,50.0,65.0,2.0,47.0,56.0,0.0,0.0,421.0,1916.0,RA,0.0,0.0,,29.43,30.15,4.8,10.0,5.3
55,2.0,2007-05-28,76.0,54.0,65.0,,49.0,57.0,0.0,0.0,,, ,,,0.00,29.49,30.14,4.7,8.0,5.2
56,1.0,2007-05-29,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,0.0,0.00,29.39,30.11,5.8,18.0,6.5
57,2.0,2007-05-29,88.0,65.0,77.0,,59.0,66.0,0.0,12.0,,,BR HZ,,,0.00,29.44,30.09,5.8,16.0,7.4
58,1.0,2007-05-30,87.0,66.0,77.0,13.0,58.0,65.0,0.0,12.0,420.0,1918.0,HZ,0.0,0.0,0.00,29.31,30.04,10.3,19.0,10.6
59,2.0,2007-05-30,89.0,70.0,80.0,,57.0,66.0,0.0,15.0,,,HZ,,,0.00,29.38,30.03,9.7,17.0,10.1
60,1.0,2007-05-31,78.0,65.0,72.0,8.0,61.0,65.0,0.0,7.0,420.0,1919.0,RA HZ,0.0,0.0,0.01,29.28,30.00,9.3,19.0,9.9
61,2.0,2007-05-31,80.0,68.0,74.0,,61.0,66.0,0.0,9.0,,,RA BR,,,0.53,29.34,29.99,8.9,18.0,9.2
62,1.0,2007-06-01,85.0,62.0,74.0,10.0,63.0,66.0,0.0,9.0,419.0,1920.0,TSRA BR HZ,0.0,0.0,0.19,29.19,29.91,4.2,17.0,6.4
63,2.0,2007-06-01,86.0,67.0,77.0,,63.0,67.0,0.0,12.0,,,TSRA BR HZ,,,0.21,29.25,29.90,4.7,16.0,5.8
64,1.0,2007-06-02,81.0,65.0,73.0,9.0,63.0,67.0,0.0,8.0,419.0,1920.0,RA BR,0.0,0.0,0.04,29.03,29.77,6.5,22.0,7.4
65,2.0,2007-06-02,81.0,68.0,75.0,,62.0,67.0,0.0,10.0,,,RA BR,,,,29.10,29.76,7.5,21.0,8.2
66,1.0,2007-06-03,78.0,62.0,70.0,6.0,60.0,63.0,0.0,5.0,418.0,1921.0,TSRA RA BR HZ,0.0,0.0,0.01,28.82,29.56,5.2,25.0,6.7
67,2.0,2007-06-03,77.0,64.0,71.0,,60.0,64.0,0.0,6.0,,,RA BR HZ VCTS,,,0.32,28.87,29.54,4.9,24.0,7.2
68,1.0,2007-06-04,71.0,58.0,65.0,1.0,58.0,60.0,0.0,0.0,418.0,1922.0,TSRA RA BR,0.0,0.0,0.39,28.82,29.52,7.8,31.0,9.7
69,2.0,2007-06-04,72.0,56.0,64.0,,57.0,60.0,1.0,0.0,,,RA BR,,,0.31,28.88,29.51,7.9,30.0,10.1
70,1.0,2007-06-05,64.0,47.0,56.0,-9,48.0,51.0,9.0,0.0,417.0,1923.0,RA BR,0.0,0.0,0.42,29.10,29.79,5.2,5.0,7.6
71,2.0,2007-06-05,63.0,51.0,57.0,,47.0,52.0,8.0,0.0,,,RA BR,,,0.27,29.16,29.78,6.2,3.0,8.1
72,1.0,2007-06-06,71.0,44.0,58.0,-8,48.0,55.0,7.0,0.0,417.0,1923.0,RA,0.0,0.0,0.01,29.07,29.81,10.8,17.0,11.4
73,2.0,2007-06-06,73.0,48.0,61.0,,47.0,55.0,4.0,0.0,,,RA,,,,29.13,29.82,9.6,15.0,10.6
74,1.0,2007-06-07,91.0,71.0,81.0,15.0,62.0,69.0,0.0,16.0,417.0,1924.0, ,0.0,0.0,0.00,28.84,29.55,22.7,20.0,23.1
75,2.0,2007-06-07,92.0,71.0,82.0,,61.0,68.0,0.0,17.0,,, ,,,0.00,28.91,29.55,20.3,19.0,20.7
76,1.0,2007-06-08,81.0,57.0,69.0,3.0,53.0,61.0,0.0,4.0,417.0,1925.0, ,0.0,0.0,0.00,29.18,29.85,10.9,28.0,13.8
77,2.0,2007-06-08,81.0,63.0,72.0,,54.0,62.0,0.0,7.0,,, ,,,0.00,29.24,29.83,9.3,26.0,12.4
78,1.0,2007-06-09,79.0,52.0,66.0,0.0,47.0,57.0,0.0,1.0,416.0,1925.0, ,0.0,0.0,0.00,29.36,30.07,0.3,33.0,5.0
79,2.0,2007-06-09,79.0,57.0,68.0,,49.0,58.0,0.0,3.0,,, ,,,0.00,29.42,30.05,2.4,19.0,4.7
80,1.0,2007-06-10,81.0,55.0,68.0,1.0,51.0,59.0,0.0,3.0,416.0,1926.0, ,0.0,0.0,0.00,29.34,30.05,4.8,17.0,5.6
81,2.0,2007-06-10,81.0,61.0,71.0,,50.0,60.0,0.0,6.0,,, ,,,0.00,29.39,30.04,4.6,16.0,5.8
82,1.0,2007-06-11,86.0,58.0,72.0,5.0,52.0,61.0,0.0,7.0,416.0,1926.0, ,0.0,0.0,0.00,29.41,30.11,4.9,11.0,6.9
83,2.0,2007-06-11,85.0,65.0,75.0,,51.0,61.0,0.0,10.0,,, ,,,0.00,29.47,30.09,6.6,9.0,8.4
84,1.0,2007-06-12,83.0,62.0,73.0,5.0,50.0,60.0,0.0,8.0,416.0,1927.0, ,0.0,0.0,0.00,29.44,30.16,8.3,5.0,8.8
85,2.0,2007-06-12,82.0,66.0,74.0,,51.0,61.0,0.0,9.0,,, ,,,0.00,29.49,30.14,9.4,5.0,10.0
86,1.0,2007-06-13,87.0,60.0,74.0,6.0,53.0,62.0,0.0,9.0,416.0,1927.0, ,0.0,0.0,0.00,29.36,30.09,7.2,5.0,8.6
87,2.0,2007-06-13,86.0,68.0,77.0,,53.0,62.0,0.0,12.0,,, ,,,0.00,,,7.0,5.0,
88,1.0,2007-06-14,89.0,64.0,77.0,9.0,55.0,64.0,0.0,12.0,416.0,1928.0, ,0.0,0.0,0.00,29.30,30.02,5.6,5.0,6.8
89,2.0,2007-06-14,89.0,68.0,79.0,,54.0,63.0,0.0,14.0,,, ,,,0.00,29.36,30.00,5.9,7.0,6.4
90,1.0,2007-06-15,91.0,63.0,77.0,9.0,56.0,64.0,0.0,12.0,416.0,1928.0, ,0.0,0.0,0.00,29.28,29.99,4.1,6.0,4.9
91,2.0,2007-06-15,89.0,67.0,78.0,,56.0,65.0,0.0,13.0,,, ,,,0.00,29.34,29.97,3.8,9.0,4.1
92,1.0,2007-06-16,93.0,66.0,80.0,11.0,60.0,67.0,0.0,15.0,416.0,1929.0,RA HZ,0.0,0.0,,29.26,29.97,4.8,28.0,5.8
93,2.0,2007-06-16,92.0,68.0,80.0,,61.0,68.0,0.0,15.0,,,HZ,,,,29.33,29.96,2.1,22.0,6.1
94,1.0,2007-06-17,91.0,70.0,81.0,12.0,64.0,70.0,0.0,16.0,416.0,1929.0,HZ,0.0,0.0,0.00,29.23,29.95,2.8,11.0,6.3
95,2.0,2007-06-17,91.0,71.0,81.0,,65.0,70.0,0.0,16.0,,,HZ,,,0.16,29.28,29.93,4.0,11.0,6.1
96,1.0,2007-06-18,89.0,69.0,79.0,9.0,65.0,70.0,0.0,14.0,416.0,1929.0,TSRA RA HZ,0.0,0.0,0.28,29.12,29.84,14.0,20.0,15.1
97,2.0,2007-06-18,89.0,73.0,81.0,,65.0,70.0,0.0,16.0,,,TSRA RA HZ,,,0.02,29.19,29.83,12.2,20.0,12.6
98,1.0,2007-06-19,80.0,65.0,73.0,3.0,55.0,63.0,0.0,8.0,416.0,1930.0,RA,0.0,0.0,0.58,29.26,29.95,10.7,28.0,11.4
99,2.0,2007-06-19,81.0,65.0,73.0,,55.0,63.0,0.0,8.0,,,RA BR,,,0.93,29.31,29.93,10.1,29.0,11.3
100,1.0,2007-06-20,84.0,61.0,73.0,3.0,52.0,61.0,0.0,8.0,416.0,1930.0, ,0.0,0.0,0.00,29.39,30.10,7.8,27.0,8.8
101,2.0,2007-06-20,85.0,62.0,74.0,,50.0,61.0,0.0,9.0,,, ,,,0.00,29.46,30.09,5.9,28.0,7.7
102,1.0,2007-06-21,77.0,61.0,69.0,-1,51.0,60.0,0.0,4.0,416.0,1930.0,RA,0.0,0.0,0.01,29.36,30.08,3.5,3.0,10.7
103,2.0,2007-06-21,80.0,66.0,73.0,,51.0,61.0,0.0,8.0,,,RA,,,,29.41,30.06,3.7,2.0,9.6
104,1.0,2007-06-22,76.0,61.0,69.0,-1,50.0,58.0,0.0,4.0,417.0,1931.0,RA,0.0,0.0,,29.33,30.06,7.8,6.0,8.7
105,2.0,2007-06-22,75.0,62.0,69.0,,49.0,58.0,0.0,4.0,,,RA,,,,29.39,30.05,6.5,7.0,8.1
106,1.0,2007-06-23,67.0,62.0,65.0,-5,58.0,61.0,0.0,0.0,417.0,1931.0,RA BR,0.0,0.0,0.05,29.23,29.96,7.6,12.0,9.0
107,2.0,2007-06-23,68.0,61.0,65.0,,60.0,62.0,0.0,0.0,,,RA BR,,,0.34,29.28,29.95,7.3,11.0,8.1
108,1.0,2007-06-24,77.0,63.0,70.0,-1,62.0,65.0,0.0,5.0,417.0,1931.0,BR HZ,0.0,0.0,0.00,29.26,29.97,7.0,9.0,8.0
109,2.0,2007-06-24,75.0,65.0,70.0,,62.0,65.0,0.0,5.0,,,BR HZ,,,0.00,29.33,29.96,5.6,10.0,6.0
110,1.0,2007-06-25,89.0,65.0,77.0,6.0,66.0,70.0,0.0,12.0,417.0,1931.0,BR HZ,0.0,0.0,0.00,29.38,30.07,3.9,14.0,6.8
111,2.0,2007-06-25,86.0,67.0,77.0,,67.0,70.0,0.0,12.0,,,BR HZ,,,0.00,29.44,30.06,4.0,12.0,5.9
112,1.0,2007-06-26,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,TSRA BR HZ VCTS,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1
113,2.0,2007-06-26,91.0,73.0,82.0,,69.0,72.0,0.0,17.0,,,BR HZ,,,,29.45,30.09,7.3,21.0,8.1
114,1.0,2007-06-27,91.0,71.0,81.0,10.0,70.0,72.0,0.0,16.0,418.0,1931.0,TSRA,0.0,0.0,0.15,29.29,30.02,7.5,24.0,8.8
115,2.0,2007-06-27,89.0,71.0,80.0,,69.0,72.0,0.0,15.0,,,TSRA RA BR,,,0.35,29.36,30.00,7.9,24.0,8.5
116,1.0,2007-06-28,74.0,58.0,66.0,-5,55.0,60.0,0.0,1.0,419.0,1931.0, ,0.0,0.0,0.00,29.41,30.09,11.9,3.0,12.5
117,2.0,2007-06-28,73.0,61.0,67.0,,56.0,61.0,0.0,2.0,,, ,,,,29.43,30.07,12.2,2.0,13.3
118,1.0,2007-06-29,70.0,56.0,63.0,-8,55.0,59.0,2.0,0.0,419.0,1931.0, ,0.0,0.0,0.00,29.41,30.13,7.6,2.0,8.3
119,2.0,2007-06-29,71.0,56.0,64.0,,56.0,60.0,1.0,0.0,,, ,,,,29.47,30.11,7.4,2.0,8.2
120,1.0,2007-06-30,79.0,54.0,67.0,-5,46.0,56.0,0.0,2.0,419.0,1931.0, ,0.0,0.0,0.00,29.41,30.13,4.9,3.0,5.8
121,2.0,2007-06-30,77.0,58.0,68.0,,49.0,58.0,0.0,3.0,,, ,,,0.00,29.46,30.11,5.1,4.0,6.2
122,1.0,2007-07-01,75.0,54.0,65.0,-7,52.0,58.0,0.0,0.0,420.0,1931.0, ,0.0,0.0,0.00,29.51,30.23,8.6,4.0,8.6
123,2.0,2007-07-01,76.0,61.0,69.0,,51.0,59.0,0.0,4.0,,, ,,,0.00,29.56,30.21,9.5,4.0,9.7
124,1.0,2007-07-02,79.0,53.0,66.0,-6,50.0,58.0,0.0,1.0,420.0,1931.0, ,0.0,0.0,0.00,29.49,30.22,5.9,14.0,8.1
125,2.0,2007-07-02,77.0,58.0,68.0,,50.0,59.0,0.0,3.0,,, ,,,0.00,29.55,30.21,7.4,12.0,8.5
126,1.0,2007-07-03,83.0,60.0,72.0,0.0,57.0,63.0,0.0,7.0,421.0,1931.0,TSRA RA BR,0.0,0.0,0.40,29.31,30.06,6.7,21.0,7.3
127,2.0,2007-07-03,83.0,63.0,73.0,,56.0,63.0,0.0,8.0,,,TSRA RA,,,0.09,29.38,30.05,6.4,21.0,7.4
128,1.0,2007-07-04,86.0,67.0,77.0,5.0,65.0,69.0,0.0,12.0,422.0,1930.0,TSRA BR HZ FU,0.0,0.0,0.16,29.18,29.90,4.6,27.0,8.2
129,2.0,2007-07-04,84.0,67.0,76.0,,65.0,69.0,0.0,11.0,,,TSRA RA HZ FU,,,0.66,29.23,29.88,3.1,25.0,8.8
130,1.0,2007-07-05,89.0,71.0,80.0,8.0,60.0,67.0,0.0,15.0,422.0,1930.0,BR HZ FU,0.0,0.0,0.00,29.24,29.94,6.4,31.0,8.1
131,2.0,2007-07-05,88.0,70.0,79.0,,60.0,67.0,0.0,14.0,,,BR,,,0.00,29.29,29.92,4.3,33.0,6.9
132,1.0,2007-07-06,86.0,66.0,76.0,4.0,57.0,64.0,0.0,11.0,423.0,1930.0, ,0.0,0.0,0.00,29.32,30.03,3.2,5.0,5.5
133,2.0,2007-07-06,84.0,68.0,76.0,,57.0,65.0,0.0,11.0,,, ,,,0.00,29.38,30.01,3.3,7.0,5.5
134,1.0,2007-07-07,90.0,64.0,77.0,5.0,63.0,69.0,0.0,12.0,423.0,1930.0, ,0.0,0.0,0.00,29.18,29.91,8.4,22.0,8.6
135,2.0,2007-07-07,88.0,68.0,78.0,,62.0,68.0,0.0,13.0,,, ,,,0.00,29.24,29.90,7.4,23.0,8.1
136,1.0,2007-07-08,94.0,75.0,85.0,12.0,67.0,72.0,0.0,20.0,424.0,1929.0, ,0.0,0.0,0.00,29.05,29.77,12.9,24.0,13.1
137,2.0,2007-07-08,93.0,75.0,84.0,,67.0,72.0,0.0,19.0,,, ,,,0.00,29.12,29.76,12.6,23.0,12.7
138,1.0,2007-07-09,94.0,70.0,82.0,9.0,66.0,70.0,0.0,17.0,425.0,1929.0,TSRA RA VCTS,0.0,0.0,0.30,29.11,29.80,4.9,24.0,8.8
139,2.0,2007-07-09,93.0,72.0,83.0,,67.0,71.0,0.0,18.0,,,RA,,,0.24,29.16,29.79,4.8,23.0,8.8
140,1.0,2007-07-10,89.0,69.0,79.0,6.0,67.0,70.0,0.0,14.0,425.0,1929.0,HZ VCTS,0.0,0.0,0.43,29.06,29.77,8.6,23.0,10.5
141,2.0,2007-07-10,89.0,70.0,80.0,,67.0,71.0,0.0,15.0,,,TSRA HZ,,,0.08,29.13,29.76,8.2,23.0,10.2
142,1.0,2007-07-11,77.0,62.0,70.0,-3,51.0,59.0,0.0,5.0,426.0,1928.0, ,0.0,0.0,0.00,29.23,29.93,8.8,30.0,10.9
143,2.0,2007-07-11,77.0,63.0,70.0,,51.0,59.0,0.0,5.0,,, ,,,0.00,29.28,29.92,9.1,30.0,11.2
144,1.0,2007-07-12,80.0,61.0,71.0,-2,51.0,59.0,0.0,6.0,427.0,1928.0, ,0.0,0.0,0.00,29.22,29.93,9.4,29.0,11.1
145,2.0,2007-07-12,80.0,60.0,70.0,,51.0,60.0,0.0,5.0,,,VCTS,,,0.00,29.28,29.92,10.0,28.0,11.4
146,1.0,2007-07-13,78.0,58.0,68.0,-5,52.0,58.0,0.0,3.0,428.0,1927.0, ,0.0,0.0,0.00,29.26,29.98,1.4,1.0,5.3
147,2.0,2007-07-13,74.0,59.0,67.0,,53.0,59.0,0.0,2.0,,, ,,,0.00,29.33,29.98,2.0,7.0,5.8
148,1.0,2007-07-14,84.0,61.0,73.0,0.0,55.0,62.0,0.0,8.0,428.0,1927.0, ,0.0,0.0,0.00,29.08,29.79,8.3,26.0,13.2
149,2.0,2007-07-14,85.0,62.0,74.0,,55.0,62.0,0.0,9.0,,, ,,,0.00,29.14,29.79,8.4,25.0,13.9
150,1.0,2007-07-15,82.0,60.0,71.0,-3,53.0,61.0,0.0,6.0,429.0,1926.0, ,0.0,0.0,0.00,29.19,29.89,2.1,29.0,4.9
151,2.0,2007-07-15,80.0,64.0,72.0,,52.0,61.0,0.0,7.0,,, ,,,0.00,29.25,29.88,1.2,9.0,6.5
152,1.0,2007-07-16,82.0,65.0,74.0,0.0,60.0,65.0,0.0,9.0,430.0,1925.0,RA BR,0.0,0.0,0.39,29.25,29.96,4.4,24.0,5.2
153,2.0,2007-07-16,82.0,66.0,74.0,,60.0,65.0,0.0,9.0,,,TSRA RA,,,0.07,29.31,29.94,5.6,23.0,6.6
154,1.0,2007-07-17,83.0,68.0,76.0,2.0,66.0,69.0,0.0,11.0,431.0,1925.0,RA BR VCTS,0.0,0.0,0.11,29.18,29.90,5.2,23.0,6.5
155,2.0,2007-07-17,83.0,69.0,76.0,,65.0,69.0,0.0,11.0,,,RA BR,,,0.11,29.24,29.89,6.3,23.0,7.4
156,1.0,2007-07-18,85.0,69.0,77.0,3.0,68.0,71.0,0.0,12.0,432.0,1924.0,TSRA RA BR VCTS,0.0,0.0,1.55,29.11,29.84,9.1,24.0,10.1
157,2.0,2007-07-18,85.0,69.0,77.0,,69.0,71.0,0.0,12.0,,,TS TSRA RA BR HZ VCTS,,,0.92,29.18,29.83,10.3,24.0,10.6
158,1.0,2007-07-19,83.0,63.0,73.0,-1,63.0,66.0,0.0,8.0,433.0,1923.0,DZ BR,0.0,0.0,0.16,29.21,29.90,7.0,1.0,11.9
159,2.0,2007-07-19,82.0,63.0,73.0,,62.0,66.0,0.0,8.0,,,BR HZ,,,0.01,29.26,29.88,7.7,36.0,14.4
160,1.0,2007-07-20,75.0,58.0,67.0,-7,53.0,59.0,0.0,2.0,433.0,1923.0, ,0.0,0.0,0.00,29.44,30.14,8.6,3.0,9.1
161,2.0,2007-07-20,74.0,62.0,68.0,,52.0,59.0,0.0,3.0,,, ,,,0.00,29.49,30.12,11.3,4.0,11.5
162,1.0,2007-07-21,74.0,58.0,66.0,-8,52.0,58.0,0.0,1.0,434.0,1922.0, ,0.0,0.0,0.00,29.51,30.22,6.5,3.0,7.4
163,2.0,2007-07-21,75.0,58.0,67.0,,52.0,59.0,0.0,2.0,,, ,,,0.00,29.57,30.21,5.8,4.0,7.4
164,1.0,2007-07-22,81.0,58.0,70.0,-4,55.0,61.0,0.0,5.0,435.0,1921.0, ,0.0,0.0,0.00,29.49,30.21,1.7,16.0,3.3
165,2.0,2007-07-22,81.0,61.0,71.0,,54.0,61.0,0.0,6.0,,, ,,,0.00,29.54,30.20,1.9,18.0,3.5
166,1.0,2007-07-23,83.0,60.0,72.0,-2,55.0,63.0,0.0,7.0,436.0,1920.0, ,0.0,0.0,0.00,29.37,30.10,3.2,9.0,4.0
