,Date,Temp_Min,Temp_Max,Temp_Avg,Temp_Dew_Point,Temp_Wet_Bulb,StnPressure,Day_Length,Ht_Cool,PrecipTotal
111,2007-08-20,68.0,77.0,72.5,68.5,69.5,29.18,822.0,-8.0,0.91
112,2007-08-21,69.0,86.0,77.5,70.0,72.0,29.235,820.0,-13.0,0.0
113,2007-08-22,69.5,90.0,80.0,70.5,73.0,29.26,817.0,-15.0,0.37
114,2007-08-23,69.5,88.0,79.0,69.0,71.0,29.18,814.0,-13.0,2.35
115,2007-08-24,69.0,80.5,75.0,67.0,69.0,29.135,811.0,-10.0,0.24
116,2007-08-25,64.5,77.5,71.5,63.0,66.0,29.26,809.0,-7.0,0.34
117,2007-08-26,60.5,78.5,70.0,55.0,61.5,29.41,806.0,-5.0,0.0
118,2007-08-27,61.5,79.0,70.5,59.5,64.0,29.385,803.0,-5.0,0.0
119,2007-08-28,68.0,90.5,79.5,65.5,70.0,29.31,801.0,-14.0,0.0
120,2007-08-29,68.5,85.5,77.5,64.5,69.0,29.365,798.0,-12.0,0.0
121,2007-08-30,58.5,75.0,67.0,54.0,60.5,29.49,796.0,-1.0,0.0
122,2007-08-31,57.0,76.5,67.0,53.0,59.5,29.495,793.0,-2.0,0.0
123,2007-09-01,58.5,80.0,69.5,55.5,61.5,29.515,790.0,-4.0,0.0
124,2007-09-02,61.5,84.5,73.0,56.5,63.0,29.44,788.0,-8.0,0.0
125,2007-09-03,65.0,88.0,76.5,61.0,67.0,29.39,785.0,-12.0,0.0
126,2007-09-04,65.0,89.5,77.5,59.5,66.5,29.31,782.0,-11.0,0.0
127,2007-09-05,69.0,90.5,80.0,62.5,69.0,29.275,780.0,-13.0,0.0
128,2007-09-06,73.5,83.0,78.5,66.5,70.0,29.24,777.0,-13.0,0.18
129,2007-09-07,70.5,84.0,77.5,67.5,70.0,29.18,774.0,-12.0,0.19
130,2007-09-08,66.0,78.0,72.0,57.5,63.5,29.32,771.0,-6.0,0.0
131,2007-09-09,63.0,79.5,71.5,59.0,63.5,29.385,769.0,-7.0,0.0
132,2007-09-10,54.5,73.5,64.0,58.5,61.0,29.32,766.0,1.0,0.36
133,2007-09-11,50.5,71.0,61.0,44.0,52.0,29.23,763.0,4.0,0.0
134,2007-09-12,46.0,66.5,56.5,42.5,49.5,29.43,761.0,8.0,0.0
135,2007-09-13,51.5,78.5,65.0,44.0,54.0,29.265,758.0,1.0,0.0
136,2007-09-14,46.0,66.5,56.5,39.5,48.5,29.385,755.0,9.0,0.0
137,2007-09-15,40.5,61.5,51.0,34.0,44.0,29.59,752.0,15.0,0.0
138,2007-09-16,46.5,71.5,59.5,39.0,49.5,29.49,748.0,7.0,0.0
139,2007-09-17,53.5,80.0,67.0,48.5,57.0,29.425,745.0,-1.0,0.0
140,2007-09-18,64.5,88.5,77.0,57.5,65.0,29.375,741.0,-11.0,0.0
141,2007-09-19,66.5,84.0,75.5,59.0,65.0,29.44,739.0,-10.0,0.0
142,2007-09-20,61.5,77.0,69.5,59.0,63.5,29.415,736.0,-4.0,0.0
143,2007-09-21,66.0,89.0,77.5,59.0,66.0,29.205,733.0,-11.0,0.0
144,2007-09-22,54.5,73.0,64.0,44.0,54.0,29.45,730.0,2.0,0.0
145,2007-09-23,52.5,83.5,68.0,50.0,58.5,29.46,728.0,-2.0,0.0
146,2007-09-24,69.5,90.5,80.0,62.5,68.5,29.305,725.0,-14.0,0.0
147,2007-09-25,65.0,84.0,74.5,65.5,69.0,29.26,722.0,-9.0,0.27
148,2007-09-26,54.0,68.5,61.5,50.5,55.5,29.34,719.0,4.0,0.09
149,2007-09-27,50.5,74.5,62.5,49.0,55.0,29.285,717.0,3.0,0.0
150,2007-09-28,53.0,73.0,63.0,46.0,53.5,29.495,714.0,2.0,0.0
151,2007-09-29,51.0,81.0,66.0,45.5,55.0,29.535,711.0,0.0,0.0
152,2007-09-30,60.0,83.5,72.0,48.5,59.0,29.4,708.0,-6.0,0.14
153,2007-10-01,59.0,68.5,64.0,59.0,61.0,29.315,706.0,1.0,0.29
154,2007-10-02,58.0,79.0,69.0,59.0,63.0,29.215,703.0,-3.0,0.09
155,2007-10-03,55.5,74.0,65.0,47.5,56.0,29.31,700.0,0.0,0.0
156,2007-10-04,53.5,82.5,68.5,56.0,61.5,29.365,697.0,-2.0,0.0
157,2007-10-05,65.0,84.5,75.0,65.0,68.5,29.39,694.0,-8.0,0.0
158,2007-10-06,70.0,87.5,79.0,66.5,70.5,29.36,691.0,-13.0,0.0
159,2007-10-07,68.5,87.5,78.0,65.5,70.0,29.345,689.0,-12.0,0.0
160,2007-10-08,61.0,87.5,74.5,60.5,66.0,29.255,686.0,-9.0,0.0
161,2007-10-09,49.5,76.5,63.5,44.0,53.0,29.24,683.0,2.0,0.0
162,2007-10-10,47.0,53.5,50.5,37.5,44.0,29.235,681.0,14.0,0.0
163,2007-10-11,47.0,55.0,51.0,39.0,45.0,29.31,678.0,15.0,0.0
164,2007-10-12,43.0,56.5,50.0,35.0,43.0,29.31,675.0,16.0,0.0
165,2007-10-13,42.0,59.0,51.0,40.5,47.0,29.345,672.0,15.0,0.0
166,2007-10-14,54.0,62.0,58.0,48.0,52.5,29.37,669.0,8.0,0.15
167,2007-10-15,53.0,75.5,64.5,51.0,57.0,29.235,667.0,2.0,0.07
168,2007-10-16,54.0,67.5,61.0,54.5,57.5,29.195,664.0,5.0,0.24
169,2007-10-17,48.5,73.0,61.0,53.0,57.0,29.1,661.0,5.0,0.04
170,2007-10-18,59.5,78.5,69.5,56.5,61.5,28.63,659.0,-4.0,0.3
171,2007-10-19,52.5,60.5,56.5,48.0,52.0,28.785,656.0,9.0,0.01
172,2007-10-20,47.0,73.5,60.5,43.0,52.0,29.06,653.0,5.0,0.0
173,2007-10-21,60.5,79.5,70.0,46.5,56.5,29.115,650.0,-5.0,0.0
174,2007-10-22,46.5,66.5,57.0,47.0,50.5,29.29,648.0,8.0,0.16
175,2007-10-23,44.5,55.5,50.5,37.5,44.5,29.23,645.0,14.0,0.0
176,2007-10-24,44.0,54.0,49.0,35.0,42.5,29.485,643.0,16.0,0.0
177,2007-10-25,45.0,56.0,50.5,39.5,46.0,29.495,640.0,15.0,0.0
178,2007-10-26,53.0,65.5,59.5,48.5,52.0,29.345,637.0,6.0,0.33
179,2007-10-27,38.0,56.0,47.0,39.5,45.5,29.59,635.0,19.0,0.01
180,2007-10-28,34.0,56.0,45.0,30.0,39.0,29.825,632.0,20.0,0.0
181,2007-10-29,39.0,60.5,50.0,32.0,42.0,29.665,630.0,15.0,0.0
182,2007-10-30,41.5,66.0,54.0,37.5,46.0,29.47,627.0,11.0,0.0
183,2007-10-31,42.0,62.5,52.5,37.5,46.0,29.33,624.0,13.0,0.0
184,2008-05-01,48.0,73.5,61.0,51.0,56.5,28.98,841.0,4.0,0.0
185,2008-05-02,53.0,74.0,64.0,55.5,59.0,28.82,843.0,2.0,1.28
186,2008-05-03,43.5,56.0,50.0,41.5,46.0,29.045,845.0,15.0,0.0
187,2008-05-04,38.5,65.5,52.5,33.5,45.0,29.345,848.0,13.0,0.0
188,2008-05-05,50.0,74.5,62.5,38.0,50.0,29.305,850.0,2.0,0.0
189,2008-05-06,49.0,81.5,65.5,43.5,55.0,29.195,853.0,1.0,0.0
190,2008-05-07,49.5,70.5,60.5,52.5,56.0,29.0,855.0,5.0,0.76
191,2008-05-08,46.0,59.0,52.5,35.5,44.5,29.11,858.0,13.0,0.0
192,2008-05-09,41.5,58.0,50.0,34.5,43.5,29.175,860.0,15.0,0.0
193,2008-05-10,39.5,61.0,50.5,38.0,45.5,29.115,862.0,15.0,0.0
194,2008-05-11,46.5,59.0,53.0,43.5,47.5,28.87,864.0,13.0,0.95
195,2008-05-12,40.5,54.5,47.5,38.5,43.0,29.29,866.0,17.0,0.0
196,2008-05-13,42.5,73.0,58.0,45.0,51.5,29.24,868.0,8.0,0.08
197,2008-05-14,45.5,62.5,54.5,48.5,52.0,29.22,870.0,10.0,0.02
198,2008-05-15,43.0,57.0,50.0,37.0,45.0,29.355,872.0,15.0,0.0
199,2008-05-16,40.5,72.5,57.0,41.0,50.0,29.13,874.0,8.0,0.0
200,2008-05-17,51.0,73.0,62.5,41.0,52.0,28.905,876.0,2.0,0.12
201,2008-05-18,44.5,55.0,50.0,39.5,45.5,28.955,878.0,15.0,0.0
202,2008-05-19,41.0,59.5,50.5,33.5,43.5,28.99,880.0,15.0,0.0
203,2008-05-20,48.0,65.0,57.0,37.0,47.0,28.97,882.0,8.0,0.0
204,2008-05-21,43.0,65.5,54.5,36.0,46.0,29.025,884.0,11.0,0.0
205,2008-05-22,46.0,57.5,52.0,38.0,45.0,29.265,886.0,13.0,0.0
206,2008-05-23,47.0,58.0,53.0,39.5,45.5,29.44,887.0,13.0,0.0
207,2008-05-24,42.0,67.5,55.0,39.0,48.0,29.475,889.0,11.0,0.0
208,2008-05-25,47.5,78.0,63.0,49.0,57.0,29.22,891.0,4.0,0.0
209,2008-05-26,50.0,82.5,66.5,60.0,64.5,29.14,893.0,1.0,0.48
210,2008-05-27,43.5,51.5,47.5,35.5,42.5,29.52,894.0,19.0,0.0
211,2008-05-28,44.0,61.5,53.0,33.5,43.5,29.63,895.0,12.0,0.0
212,2008-05-29,43.5,67.5,56.0,37.5,47.5,29.425,896.0,10.0,0.01
213,2008-05-30,56.5,77.0,67.0,59.5,62.5,29.06,898.0,-1.0,0.4
214,2008-05-31,59.5,79.0,69.5,56.0,62.0,29.125,899.0,-4.0,0.0
215,2008-06-01,54.5,72.5,64.0,46.5,55.0,29.26,901.0,1.0,0.0
216,2008-06-02,58.5,85.5,72.0,52.5,60.5,29.185,901.0,-6.0,0.0
217,2008-06-03,56.0,71.5,64.0,56.5,58.5,28.995,903.0,3.0,0.52
218,2008-06-04,56.5,78.0,67.5,60.0,62.5,28.925,904.0,-1.0,0.0
219,2008-06-05,64.0,87.5,76.0,68.5,71.5,29.03,906.0,-9.0,0.64
220,2008-06-06,73.0,86.5,80.0,68.5,72.0,29.105,906.0,-15.0,0.0
221,2008-06-07,70.5,84.5,77.5,71.0,73.0,29.195,907.0,-12.0,0.11
222,2008-06-08,64.5,86.0,75.5,68.5,70.5,29.145,908.0,-10.0,1.24
223,2008-06-09,65.0,74.0,70.0,64.0,66.0,29.135,909.0,-5.0,0.14
224,2008-06-10,59.5,79.5,69.5,56.0,62.0,29.215,910.0,-4.0,0.0
225,2008-06-11,63.5,86.0,75.0,55.5,64.0,29.31,910.0,-9.0,0.0
226,2008-06-12,73.0,91.0,82.0,63.0,69.5,29.23,911.0,-17.0,0.0
227,2008-06-13,65.5,82.0,74.0,62.5,66.0,29.245,911.0,-9.0,0.39
228,2008-06-14,60.0,84.0,72.5,52.5,61.5,29.26,912.0,-7.0,0.0
229,2008-06-15,60.5,81.5,71.0,60.0,64.0,29.19,912.0,-6.0,0.18
230,2008-06-16,59.5,73.0,66.5,49.0,57.0,29.225,913.0,-1.0,0.0
231,2008-06-17,55.5,76.0,66.0,46.0,55.0,29.29,913.0,-1.0,0.0
232,2008-06-18,57.0,76.0,67.0,48.5,56.0,29.235,913.0,-2.0,0.0
233,2008-06-19,53.5,80.5,67.5,46.5,56.5,29.24,914.0,-2.0,0.0
234,2008-06-20,59.0,82.5,71.0,52.5,59.5,29.275,914.0,-5.0,0.09
235,2008-06-21,61.5,82.5,72.5,52.5,61.0,29.265,914.0,-7.0,0.01
236,2008-06-22,59.0,81.5,70.5,52.5,59.5,29.205,914.0,-5.0,0.16
237,2008-06-23,56.5,76.5,67.0,54.0,59.0,29.355,914.0,-2.0,0.0
238,2008-06-24,56.0,82.0,69.5,52.5,60.0,29.465,914.0,-4.0,0.0
239,2008-06-25,66.5,79.0,73.0,64.5,67.5,29.31,914.0,-8.0,0.08
240,2008-06-26,70.5,86.5,78.5,66.5,70.5,29.18,913.0,-13.0,0.0
241,2008-06-27,67.5,84.5,76.0,67.0,70.0,29.08,913.0,-10.0,0.0
242,2008-06-28,65.0,83.5,74.5,55.0,63.0,29.015,912.0,-9.0,0.04
243,2008-06-29,60.5,76.0,68.5,58.0,61.0,29.105,912.0,-3.0,0.58
244,2008-06-30,59.0,80.5,70.0,49.5,58.0,29.31,912.0,-5.0,0.0
245,2008-07-01,57.5,83.5,71.0,50.5,60.0,29.27,911.0,-6.0,0.0
246,2008-07-02,63.0,88.0,75.5,62.0,66.5,29.115,911.0,-10.0,0.2
247,2008-07-03,57.0,71.0,64.0,51.0,57.0,29.365,910.0,2.0,0.0
248,2008-07-04,55.0,75.5,65.5,50.0,57.5,29.375,908.0,1.0,0.0
249,2008-07-05,55.5,79.5,67.5,52.0,59.5,29.335,908.0,-2.0,0.0
250,2008-07-06,61.0,87.5,74.5,57.5,65.0,29.245,907.0,-8.0,0.0
251,2008-07-07,72.5,87.0,80.0,67.5,71.0,29.185,907.0,-14.0,0.03
252,2008-07-08,58.0,85.5,78.0,67.5,71.0,29.13,905.0,-13.0,0.03
253,2008-07-09,67.0,85.0,76.0,55.0,63.5,29.285,904.0,-11.0,0.0
254,2008-07-10,64.0,83.0,73.5,62.5,66.5,29.295,904.0,-8.0,0.72
255,2008-07-11,64.0,88.5,76.5,65.0,69.0,29.265,902.0,-11.0,0.34
256,2008-07-12,65.5,82.0,74.0,63.5,66.5,29.22,901.0,-8.0,0.73
257,2008-07-13,61.5,79.0,70.5,53.5,61.0,29.15,899.0,-6.0,0.0
258,2008-07-14,62.0,84.0,73.0,54.0,62.0,29.25,899.0,-8.0,0.0
259,2008-07-15,64.0,90.5,77.5,62.5,68.5,29.33,897.0,-11.0,0.0
260,2008-07-16,72.0,90.5,81.5,66.5,70.5,29.415,895.0,-16.0,0.0
261,2008-07-17,72.5,89.5,81.0,66.0,71.0,29.36,894.0,-15.0,0.0
262,2008-07-18,73.5,88.5,81.0,67.5,71.5,29.27,892.0,-15.0,0.04
263,2008-07-19,68.5,79.0,74.0,69.0,70.0,29.215,890.0,-8.0,1.61
264,2008-07-20,68.0,86.0,77.0,68.0,71.0,29.225,890.0,-12.0,0.74
265,2008-07-21,69.0,83.5,76.5,65.5,68.5,29.235,888.0,-11.0,0.13
266,2008-07-22,64.5,76.0,70.5,60.0,64.0,29.335,886.0,-5.0,0.0
267,2008-07-23,60.0,81.0,71.0,52.0,60.5,29.415,884.0,-6.0,0.0
268,2008-07-24,59.5,82.0,71.0,52.5,61.0,29.36,882.0,-6.0,0.0
269,2008-07-25,63.0,83.0,73.5,63.0,67.0,29.295,880.0,-7.0,0.0
270,2008-07-26,66.0,84.5,75.5,58.0,65.5,29.25,879.0,-10.0,0.0
271,2008-07-27,62.5,83.0,73.0,58.0,64.5,29.19,877.0,-8.0,0.0
272,2008-07-28,68.0,84.5,76.5,63.0,67.5,29.185,875.0,-11.0,0.0
273,2008-07-29,67.5,88.5,78.5,67.0,70.5,29.175,873.0,-12.0,0.05
274,2008-07-30,72.0,89.5,81.0,66.0,70.5,29.07,871.0,-16.0,0.0
275,2008-07-31,71.5,89.0,80.5,68.0,71.0,29.085,869.0,-16.0,0.14
276,2008-08-01,70.0,89.0,80.0,68.5,72.5,29.115,866.0,-14.0,1.05
277,2008-08-02,66.5,80.5,73.5,59.5,65.0,29.26,864.0,-8.0,0.0
278,2008-08-03,62.0,84.5,73.5,61.0,66.5,29.27,862.0,-8.0,0.0
279,2008-08-04,69.5,87.5,79.0,68.5,70.5,29.21,860.0,-14.0,2.43
280,2008-08-05,70.0,87.5,79.0,68.0,71.5,29.27,858.0,-13.0,0.0
281,2008-08-06,67.0,84.0,76.0,60.0,66.0,29.32,856.0,-11.0,0.0
282,2008-08-07,63.5,81.5,72.5,56.5,63.0,29.285,853.0,-8.0,0.0
283,2008-08-08,63.5,78.5,71.0,54.0,61.0,29.315,851.0,-6.0,0.0
284,2008-08-09,61.5,79.0,70.5,58.0,62.5,29.225,849.0,-6.0,0.0
285,2008-08-10,59.5,74.0,67.0,52.5,58.5,29.335,846.0,-1.0,0.0
286,2008-08-11,59.5,76.5,68.0,57.0,61.5,29.33,844.0,-3.0,0.0
287,2008-08-12,61.5,77.0,69.5,57.0,62.0,29.2,842.0,-4.0,0.0
288,2008-08-13,66.0,78.0,72.5,59.0,63.0,29.14,839.0,-8.0,0.06
289,2008-08-14,64.0,78.5,71.5,60.0,64.0,29.255,837.0,-6.0,0.0
290,2008-08-15,61.0,78.0,70.0,54.5,61.0,29.465,835.0,-5.0,0.0
291,2008-08-16,58.5,82.5,71.0,53.0,61.0,29.43,832.0,-6.0,0.0
292,2008-08-17,63.0,84.5,74.0,59.5,65.0,29.31,830.0,-9.0,0.0
293,2008-08-18,65.0,85.0,75.0,57.5,64.5,29.295,827.0,-10.0,0.0
294,2008-08-19,64.0,83.0,74.0,64.0,67.5,29.4,825.0,-8.0,0.0
295,2008-08-20,66.0,81.0,73.5,59.5,65.0,29.43,822.0,-8.0,0.0
296,2008-08-21,68.5,82.0,75.5,60.5,66.0,29.335,820.0,-10.0,0.0
297,2008-08-22,73.5,83.5,79.0,68.5,71.5,29.355,817.0,-13.0,0.09
298,2008-08-23,68.5,88.5,79.0,67.0,70.5,29.335,814.0,-13.0,0.0
299,2008-08-24,64.0,77.5,71.0,57.0,62.5,29.36,811.0,-5.0,0.0
300,2008-08-25,65.0,74.0,69.5,55.0,60.5,29.385,809.0,-4.0,0.0
301,2008-08-26,61.0,75.5,68.5,54.5,60.5,29.315,806.0,-4.0,0.0
